,1e-05,0.0001,0.001,0.01,0.1
75,1.6425363079824478,2.0365643868834447,5.0527022620096345,4.284585432627054,4.808208502262623
76,1.6399666269770121,2.0346002767746185,5.03950317739882,4.28937484717474,4.8172583922290055
77,1.6376055195635077,2.0437615861414185,5.026685716569946,4.281620551777566,4.834905132023175
78,1.6354185766573404,2.1531708320170777,5.013321249702837,4.266223431568714,4.825208296035545
79,1.6333803153868578,2.447801637046001,5.000634252013416,4.24428152027072,4.784383224606714
80,1.6315111203477277,2.9258236516030713,4.989475635862583,4.225932845637563,4.900958026348224
81,1.6297681839443432,3.624899388367567,4.978868416350932,4.208733389108627,4.830757874740389
82,1.628161542199938,4.55797400498068,4.969535556686992,4.217974914300904,4.894946623011803
83,1.6266743814226101,5.4879604859895785,4.962424087003408,4.202891150190473,4.918269273665699
84,1.6252730591079465,6.650856285721505,4.956033678720575,4.204227345779693,5.0002789284168685
85,1.6239445761571005,8.36751681410202,4.94968285361039,4.203131843590449,4.884903748770452
86,1.622687539661871,10.073162117361647,4.94400101395424,4.178178893660683,4.941091879170666
87,1.6214999355820299,11.335711130175213,4.9394025750004245,4.18591548260912,4.870018745100802
88,1.62034290900861,12.143041121220042,4.934903290293977,4.206284594195967,4.848153422231526
89,1.6192042252786623,12.640915828334014,4.92846265242146,4.224189980315678,4.8676249860398055
90,1.6181098628182777,12.941809864299742,4.921235020527393,4.239883020688422,4.870871625225249
91,1.6170711358610528,13.102093037327464,4.914307925842272,4.254272555012031,4.835537433094238
92,1.6160428462068859,13.149838687980763,4.907176007958917,4.259127357557751,4.8465802414528705
93,1.6150480144152386,13.114601497855851,4.901558424744145,4.265081763611738,4.857568819201409
94,1.614032088993236,13.020064409860513,4.896681553034334,4.258456502407809,4.874855950021517
95,1.6130108477390863,12.92288727308149,4.892416508756041,4.272622290816273,4.881421297637292
96,1.6120183301596827,12.860273359363015,4.888112922754782,4.285585939856008,4.929409633580961
97,1.6110624362847432,12.823897690190632,4.885057895362033,4.291392893337669,4.830447996444852
98,1.6101247926560716,12.795340325341732,4.88370365711826,4.302437992576747,4.883207948738142
99,1.6091982617357559,12.766461946671441,4.883638873828385,4.295037570590039,4.844812151160709
